"Cases reported by specimen date between week 39 and week 42 2021","Cases Unadjusted rates among persons vaccinated with 2 doses (per 100,000)2","Cases Unadjusted rates among persons not vaccinated (per 100,000)2","Emergency Unadjusted rates among persons vaccinated with 2 doses (per 100,000)2","Emergency Unadjusted rates among persons not vaccinated (per 100,000)2","Deaths28 Unadjusted rates among persons not vaccinated (per 100,000)1,2","Deaths28 Unadjusted rates among persons vaccinated with 2 doses (per 100,000) 2","Deaths60 Unadjusted rates among persons not vaccinated (per 100,000)2","Deaths60 Unadjusted rates among persons vaccinated with 2 doses (per 100,000)1,2"
"Under 18","586.2","3,149.6","0.7","5.3","0.0","0.0","0.0","0.0"
"18-29","532.9","674.0","1.3","6.4","0.1","0.2","0.1","0.3"
"30-39","1,071.8","817.7","3.4","15.4","0.1","0.6","0.2","0.9"
"40-49","1,936.2","834.9","7.1","28.8","0.5","2.0","0.6","3.2"
"50-59","1,248.7","586.1","8.9","43.0","1.1","7.1","1.6","9.6"
"60-69","836.6","391.2","14.6","52.0","4.3","19.0","5.6","25.8"
"70-79","635.4","312.2","29.8","76.7","13.0","39.7","15.9","47.6"
"≥80","432.5","333.8","56.8","120.8","44.9","110.0","55.5","128.5"
